Red team starts
GAME IS OVER
#   42 | steps: 10009 | steps_t:     8 | t: 169.701815 | r: -12640.000000 | e:   0.999840 | Q:        nan | won: False
Red team starts
GAME IS OVER
#   43 | steps: 10227 | steps_t:   170 | t: 182.339562 | r: -13280.000000 | e:   0.996600 | Q:        nan | won: False
Blue team starts
GAME IS OVER
#   44 | steps: 10497 | steps_t:   398 | t: 199.687267 | r: -2120.000000 | e:   0.992040 | Q: -247.386047 | won: False
Blue team starts
GAME IS OVER
#   45 | steps: 10798 | steps_t:   643 | t: 219.390174 | r:  -100.000000 | e:   0.987140 | Q: -341.298767 | won: True
Red team starts
GAME IS OVER
#   46 | steps: 11045 | steps_t:   845 | t: 238.215611 | r:  -710.000000 | e:   0.983100 | Q: -237.315887 | won: False
Blue team starts
GAME IS OVER
#   47 | steps: 11346 | steps_t:  1092 | t: 258.461164 | r: -22550.000000 | e:   0.978160 | Q: -364.836273 | won: True
Blue team starts
GAME IS OVER
#   48 | steps: 11647 | steps_t:  1342 | t: 278.370284 | r: -4370.000000 | e:   0.973160 | Q: -327.975067 | won: True
Red team starts
GAME IS OVER
#   49 | steps: 11817 | steps_t:  1467 | t: 286.619859 | r: -4400.000000 | e:   0.970660 | Q: -322.731506 | won: False
Blue team starts
GAME IS OVER
#   50 | steps: 12118 | steps_t:  1717 | t: 305.858680 | r: -7020.000000 | e:   0.965660 | Q: -315.937134 | won: True
Blue team starts
GAME IS OVER
#   51 | steps: 12333 | steps_t:  1882 | t: 319.962386 | r: -3420.000000 | e:   0.962360 | Q:        nan | won: False
Blue team starts
GAME IS OVER
#   52 | steps: 12551 | steps_t:  2049 | t: 334.736222 | r: -10540.000000 | e:   0.959020 | Q: -220.332779 | won: False
Blue team starts
GAME IS OVER
#   53 | steps: 12852 | steps_t:  2308 | t: 355.968331 | r:  1930.000000 | e:   0.953840 | Q: -237.463898 | won: True
Red team starts
GAME IS OVER
#   54 | steps: 13020 | steps_t:  2435 | t: 365.985945 | r: -3280.000000 | e:   0.951300 | Q: -327.162689 | won: False
Red team starts
GAME IS OVER
#   55 | steps: 13321 | steps_t:  2694 | t: 387.436065 | r: -2780.000000 | e:   0.946120 | Q: -265.467010 | won: True
Red team starts
GAME IS OVER
#   56 | steps: 13622 | steps_t:  2954 | t: 409.623873 | r:  -650.000000 | e:   0.940920 | Q: -283.534058 | won: True
Red team starts
GAME IS OVER
#   57 | steps: 13841 | steps_t:  3123 | t: 422.957737 | r: -6120.000000 | e:   0.937540 | Q: -350.361511 | won: False
Red team starts
GAME IS OVER
#   58 | steps: 14142 | steps_t:  3379 | t: 441.856438 | r: -3690.000000 | e:   0.932420 | Q: -226.707977 | won: True
Blue team starts
GAME IS OVER
#   59 | steps: 14358 | steps_t:  3539 | t: 453.280827 | r: -6290.000000 | e:   0.929220 | Q: -232.919617 | won: False
Red team starts
GAME IS OVER
#   60 | steps: 14574 | steps_t:  3700 | t: 466.460462 | r: -9890.000000 | e:   0.926000 | Q: -227.928970 | won: False
Blue team starts
GAME IS OVER
#   61 | steps: 14790 | steps_t:  3860 | t: 480.398434 | r: -4830.000000 | e:   0.922800 | Q: -289.403961 | won: False
Red team starts
GAME IS OVER
#   62 | steps: 15006 | steps_t:  4020 | t: 493.423238 | r: -5380.000000 | e:   0.919600 | Q: -236.639786 | won: False
Red team starts
GAME IS OVER
#   63 | steps: 15223 | steps_t:  4181 | t: 509.569165 | r: -5550.000000 | e:   0.916380 | Q: -154.223923 | won: False
Red team starts
GAME IS OVER
#   64 | steps: 15443 | steps_t:  4345 | t: 522.166774 | r: -4700.000000 | e:   0.913100 | Q: -117.936050 | won: False
Red team starts
GAME IS OVER
#   65 | steps: 15659 | steps_t:  4507 | t: 534.774855 | r: -4560.000000 | e:   0.909860 | Q: -66.019081 | won: False
Blue team starts
GAME IS OVER
#   66 | steps: 15960 | steps_t:  4767 | t: 554.572561 | r:  1820.000000 | e:   0.904660 | Q:  -9.000006 | won: True
Blue team starts
GAME IS OVER
#   67 | steps: 16261 | steps_t:  5023 | t: 573.352988 | r: -3430.000000 | e:   0.899540 | Q:  10.452641 | won: True
Red team starts
GAME IS OVER
#   68 | steps: 16478 | steps_t:  5189 | t: 587.926798 | r: -10010.000000 | e:   0.896220 | Q: -23.109108 | won: False
Red team starts
GAME IS OVER
#   69 | steps: 16693 | steps_t:  5353 | t: 601.338168 | r: -1790.000000 | e:   0.892940 | Q:  14.863893 | won: False
Red team starts
GAME IS OVER
#   70 | steps: 16994 | steps_t:  5600 | t: 620.329816 | r:  -870.000000 | e:   0.888000 | Q:   8.814828 | won: True
Blue team starts
GAME IS OVER
#   71 | steps: 17212 | steps_t:  5763 | t: 632.678028 | r: -6650.000000 | e:   0.884740 | Q:  18.192284 | won: False
Red team starts
GAME IS OVER
#   72 | steps: 17429 | steps_t:  5925 | t: 646.297498 | r: -3420.000000 | e:   0.881500 | Q:  20.641781 | won: False
Blue team starts
GAME IS OVER
#   73 | steps: 17644 | steps_t:  6090 | t: 659.695094 | r: -4300.000000 | e:   0.878200 | Q:  16.425406 | won: False
Red team starts
GAME IS OVER
#   74 | steps: 17860 | steps_t:  6250 | t: 673.781614 | r: -4970.000000 | e:   0.875000 | Q:  34.868961 | won: False
Red team starts
GAME IS OVER
#   75 | steps: 18161 | steps_t:  6509 | t: 694.632367 | r:  2580.000000 | e:   0.869820 | Q:  63.041618 | won: True
Red team starts
GAME IS OVER
#   76 | steps: 18423 | steps_t:  6716 | t: 713.522919 | r: -5240.000000 | e:   0.865680 | Q:  75.958107 | won: False
Red team starts
GAME IS OVER
#   77 | steps: 18591 | steps_t:  6842 | t: 724.617157 | r: -6010.000000 | e:   0.863160 | Q:  62.208832 | won: False
Blue team starts
GAME IS OVER
