Loading checkpoint...
Blue team baselineTeam with {'numTraining': 9}:
Loading Team: baselineTeam.py
Arguments: {'numTraining': 9}
Playing 9 training games
Red team starts
28165 27156.602
28166 27948.645
28167 33239.227
28168 28717.87
28169 618725.9
28170 646387.94
28171 33386.117
28172 665138.44
28173 9623.233
28174 13094.2705
28175 44810.81
28176 16358.172
28177 24896.846
28178 35102.863
28179 10315.553
28180 655376.44
28181 634229.8
28182 16432.355
28183 23416.613
28184 22288.031
28185 62209.734
28186 16000.418
28187 22713.328
28188 13237.758
28189 30592.355
28190 642961.3
28191 37039.516
28192 26830.312
28193 29464.646
28194 615382.8
28195 31140.418
28196 23189.105
28197 19922.213
28198 34903.08
28199 11732.037
28200 13324.242
28201 10565.441
28202 13576.639
GAME IS OVER
28203 662738.3
#    3 | steps:   601 | steps_t: 28203 | t: 35.035930 | r: -3610.000000 | e:   0.435940 | Q: -199.618164 | won: False
Red team starts
28204 10690.525
28205 39024.746
28206 28398.36
28207 1249935.2
28208 23067.246
28209 24424.408
28210 16586.396
28211 20118.98
28212 625194.94
28213 5487.6885
28214 14310.034
28215 26298.332
28216 47379.21
28217 18600.592
28218 647414.7
28219 24711.68
28220 26010.865
28221 33055.258
28222 23863.004
28223 24811.982
28224 624419.75
28225 614373.7
28226 12257.959
28227 35257.434
28228 22871.1
28229 17711.729
28230 51514.234
28231 19695.59
28232 19593.605
28233 611700.3
28234 9623.963
28235 27715.52
28236 14024.792
28237 679035.9
28238 33438.484
28239 12514.451
28240 612417.94
28241 14444.521
28242 613570.94
28243 613777.5
28244 28692.38
28245 25716.02
28246 644910.9
28247 33816.773
28248 11147.713
28249 15617.107
28250 611287.2
28251 48412.17
28252 22200.207
28253 19703.379
28254 49062.6
28255 14158.035
28256 21354.334
28257 27632.838
28258 20485.45
28259 23821.549
28260 31652.49
28261 35315.36
28262 13533.57
28263 12464.109
28264 7566.457
28265 33537.543
28266 26896.697
28267 27020.32
28268 24211.223
28269 19652.814
28270 19332.799
28271 616459.8
28272 21092.09
28273 24439.18
28274 25620.645
28275 32374.008
28276 60438.934
28277 593303.94
28278 31921.05
28279 15543.175
28280 19106.574
28281 15328.728
28282 26091.184
28283 92555.82
28284 26796.357
28285 47520.754
28286 612193.9
28287 25821.621
28288 49803.0
28289 34110.133
28290 16220.084
28291 650281.6
28292 4338.1865
28293 15248.611
28294 33954.64
28295 39953.93
28296 22716.523
28297 19417.959
28298 34039.727
28299 16769.773
28300 53553.812
28301 20324.18
28302 13948.723
28303 28887.133
28304 35186.406
28305 24108.834
28306 6216.5493
28307 38422.066
28308 39557.36
28309 48130.594
28310 18610.117
28311 15691.023
28312 38704.242
28313 20771.613
28314 35363.215
28315 16317.256
28316 21319.176
28317 31700.244
28318 14502.305
28319 15154.713
28320 603309.75
28321 103961.016
28322 60254.895
28323 43835.96
28324 30563.852
28325 30470.512
28326 24804.812
28327 20472.318
28328 29045.547
28329 16593.855
28330 34980.188
28331 40018.527
28332 46110.938
28333 26268.176
GAME IS OVER
28334 616422.7
